být	be
podvozek	chassis
půldruhý	Ninety
rozhodovací	decision
sklidit	clear away
teologie	theology
ubrus	cloth
žampion	mushroom
žralok	shark
banální	banal
diagnostický	diagnostic
kreditní	Credit
rozeznávat	distinguish
různorodý	varied
spojitost	connection
vítaný	welcome
vyhlédnout	peer
arcibiskup	archbishop
hybný	motive
nabádat	urge
pomstít	revenge
smečka	pack
spravit	mend
vystupování	manner
žurnalista	journalist
kladenský	Kladno
komentátor	commentator
masakr	massacre
národnostní	national
účelový	purpose-built
uhlík	carbon
uhodnout	guess
váza	vase
madam	madam
mars	mars
povodí	basin
starostka	mayoress
kontinentální	continental
přiměřeně	adequately
spára	gap
Mělník	Melnik
objektivně	objectively
orlice	eagle
předstih	advance
šev	seam
tuzemsko	Domestic
zrnko	grain
číslice	digit
elementární	elementary
herní	Gaming
nížina	lowland
dýka	dagger
finálový	Final
současník	contemporary
vysvědčení	certificate
fazole	beans
orientální	Oriental
rallye	Rally
rozpoutat	unleash
sporně	controversially
vrstevník	contemporary
vymezovat	define
agrární	agrarian
dřít	rub
klášterní	monastic
krycí	cover
očkování	vaccination
pastvina	pasture
připojovat	connect
tištěný	printed
uskupení	groups
vychladlý	cooled down
pat	stalemate
trpící	sufferers
utěšovat	comfort
benátský	Venetian
hučet	hum
charita	charity
listovat	browse
oddanost	dedication
prohledat	search
štítek	label
třídění	classification
zalíbit	please
zmáčknout	squeeze
zranitelný	vulnerable
červnový	June
čip	chip
kosmetický	cosmetic
obývák	living room
okouzlit	enrapture
platforma	platform
propojený	Linked
západočeský	Westbohemian
archív	archive
kočárek	stroller
konzumace	eating
polední	midday
popelnice	dustbin
připojený	attached
via	via
vyniknout	excel
malebný	picturesque
moravskoslezský	moravskoslezsky
osolený	salted
peřina	featherbed
razit	mint
reprezentativní	representative
nával	rush
nosní	nasal
vražedný	murder
ambasáda	embassy
hrdinka	heroine
kopí	spear
milionář	millionaire
vjem	sensation
živobytí	living
bažina	swamp
dodržení	compliance
extrémně	Extremely
facto	facto
napravo	right
osnova	outline
štětec	brush
vysílačka	transmitter
zákulisí	behind the scenes
zaznívat	resound
generátor	generator
lopata	shovel
ohromit	astound
plynulý	smooth
top	top
vnitřek	interior
zastrčit	tuck
dílec	component
kopírovat	copy
sekera	ax
spotřebič	appliance
střep	shard
amatér	amateur
kandidatura	candidacy
munice	ammunition
přihrávka	pass
růstový	Growth
vánek	breeze
vášnivě	heatedly
hluchý	deaf
prodávaný	sold
siréna	siren
SMS	SMS
vzrušeně	excitedly
zatočit	turn
zjev	appearance
hrabal	rummaged
iont	ion
náležitě	properly
napodobit	imitate
odvažovat	weigh
placka	cake
projednávání	hearing
sousedka	neighbor
tetička	auntie
Anička	Anička
děvka	whore
gigant	titan
katastr	cadastre
mučit	torture
nahrávat	record
násilník	rapist
pozůstalý	residuary
průřez	cross-section
převádět	convert
sociolog	sociologist
vrátný	porter
znenadání	unawares
celebrita	celebrity
hemžit	teem
průměrně	average
rozpadat	crumble
střevíc	shoe
vařící	boiling
vtáhnout	pull in
bednění	Formwork
dealer	dealer
motat	wind up
nuže	Well
opodál	aloof
praskat	creak
ztuhlý	stiff
geologický	geological
MV	MV
obdivuhodný	admirable
podélný	longitudinal
potit	perspire
předložený	submitted
trn	thorn
elegance	elegance
integrovat	integrate
misie	Missions
postřeh	observation
špaček	starling
garda	guard
choť	consort
přízemní	ground
rekonstruovat	reconstruct
vida	vida
výzbroj	equipment
zbarvený	colored
zrychlit	accelerate
auditor	auditor
názorový	of opinion
obalit	wrap
správnost	rightness
víla	fairy
vraždit	murder
bit	bit
dohodnutý	Agreed
estetika	aesthetics
chovanec	inmate
mrav	manners
plavky	swimsuit
prospívat	thrive
prozatímní	interim
revue	revue
šetrný	thrifty
tekutý	liquid
teplotní	thermal
vymazaný	deleted
zadavatel	authority
dynastie	dynasty
lednice	fridge
pískat	whistle
pokřtít	christen
přislíbit	vow
rybička	tiddler
vypravěč	Narrator
kvóta	quota
palubní	board
pamětní	memorial
patnáctý	fifteenth
přidržovat	hold
dovážet	import
dvojka	Pair
hojný	abundant
peníz	coin
podezírat	suspect
skleník	greenhouse
vkročit	walk in
vodit	walk
vstřícný	helpful
divně	weird
naložený	loaded
pohraniční	border
poklidný	placid
spěšně	hastily
SR	SR
vršek	top
zlatka	Zlatko
invalidní	disabled
křivda	injustice
opar	haze
pokojný	peaceful
rušný	eventful
zahajovat	launch
zvědavě	curiously
čtyřicátý	fortieth
Ráchel	Rachel
viditelně	visibly
vpadnout	raid
biskupský	episcopal
hraběnka	countess
pootevřený	ajar
posedlost	obsession
postěžovat	Complain
servisní	service
telekomunikace	telecommunication
výmluvný	eloquent
zásobovat	supply
horák	burner
koridor	corridor
kytarista	Guitarist
monumentální	monumental
osvojit	learn
regulovaný	controlled
rozruch	stir
šerif	sheriff
velkorysý	generous
čitelný	readable
konstantní	constant
lávka	footbridge
pást	graze
přehlížet	disregard
roztrhnout	rip
uhánět	scud
zaujetí	absorption
klesající	decreasing
naskočit	hop on
novinářský	journalistic
osel	donkey
part	part
pH	pH
postih	recourse
ježto	because
kalifornský	Californian
stesk	nostalgia
suverenita	sovereignty
trans	trance
výpis	listing
atletický	athletic
cožpak	Had
mluvící	speaking
obsáhlý	comprehensive
pořízení	acquisition
registrovaný	registered
sjíždět	go down
vtisknout	impress
záchranka	ambulance
děs	dread
dostavět	finish
nalezení	finding
palička	gavel
příkrý	steep
přísun	feed
slast	delight
sopka	volcano
sranda	hoot
syntetický	synthetic
nalevo	on the left
pečeť	seal
samopal	tommy gun
republikánský	republican
udiveně	in astonishment
unaveně	weary
vydírání	extortion
výztuž	Reinforcement
zastupitelství	Prosecution
zkažený	corrupt
air	air
biologie	biology
blahobyt	welfare
doprostřed	middle
dvaadvacet	Twenty-two
hrabat	scrabble
hydraulický	hydraulic
kytka	flower
představitelný	imaginable
úměrný	proportional
blbec	jerk
povstalec	insurrectionist
rival	rival
rozdrtit	crush
směle	boldly
soška	statuette
velikonoce	Easter
hoře	mountain
objektiv	lens
pilně	diligently
posledně	last
varovný	warning
legálně	legally
malování	painting
mihnout	flicker
mile	mile
oddechnout	breather
pochodeň	torch
přesahující	exceeding
rasový	race
receptor	receptor
reformní	reform
svíce	Candles
štěkat	bark
vyjednávat	negotiate
zrzavý	ginger
klimatizace	air conditioning
Náchod	Nachod
pohrávat	fool
šipka	arrow
vyplňovat	fill
zveřejněný	published
bodový	Scatter
odpadový	waste
podvečer	evening
rozumně	reasonably
východočeský	East Bohemia
duchový	spectral
hustě	thick
královéhradecký	Hradec Kralove
radikálně	radically
šlápnout	tread
teplický	Teplice
vegetace	vegetation
vyvolený	Chosen
branže	branch
drátěný	wire
kolébka	cradle
koncovka	ending
stropní	Ceiling
učenec	scholar
Zéland	Zealand
obchvat	envelopment
obratně	ably
ploutev	flipper
prolomit	break
Rýn	Rhine
selský	rural
středeční	Wednesday
štěrbina	slot
vlažný	lukewarm
vyklouznout	slip out
životně	vitally
BMW	BMW
husí	goose
chápavě	knowingly
nezájem	lack of interest
pasta	paste
port	port
pozvánka	invitation card
šum	noise
vietnamský	Vietnamese
zálivka	dressing
alej	alley
klání	tilt
odbočit	digress
senzace	sensation
setrvat	persevere
slavík	nightingale
tržnice	Market
alergie	allergy
celoroční	yearlong
destička	tablet
larva	larva
mafie	mafia
meziříčí	meziříčí
republikán	republican
sekvence	sequence
kostní	Bone
množit	proliferate
surrealismus	surrealism
šach	shah
vyplout	sail
die	die
kotva	anchor
perfektně	perfectly
pětka	fiver
pravdivost	verity
střelit	shoot
surový	raw
vidlička	fork
výkyv	swing
chemikálie	chemicals
ironický	ironic
náležitý	due
ozdobný	fancy
sirka	match
úlomek	fragment
hajzl	cunt
sčítání	summing up
světnice	sitting room
tamější	local
tamten	yonder
uběhnout	elapse
extraligový	extraleague
hvězdička	asterisk
roztrhat	tear
diplom	diploma
chlupatý	hairy
kompromisní	Compromise
kytovec	grampus
vloupání	housebreaking
zábavní	Entertainment
zdatný	able-bodied
doznat	admit
drzý	sassy
líný	lazy
příbytek	abode
sebedůvěra	self-confidence
sedačka	seat
cyklistický	cycling
drobnost	trifle
idol	heartthrob
jez	is from
klečet	kneel
nastavený	default
palivový	fuel
přiřadit	assign
saudský	Saudi
telefonický	telephonic
trakt	tract
domlouvat	play
dusík	nitrogen
justice	judiciary
klacek	stick
nesčetný	numberless
pomyslný	imaginary
pořádaný	organized
slůvko	word
souběžně	concurrently
útlum	downturn
výšina	height
zmrzlý	frozen
čokoládový	chocolate
labyrint	labyrinth
poradna	clinic
sólový	solo
teoretik	theoretician
vlnový	wave
kolovat	circulate
linout	waft
příslušenství	accessories
určující	determining
vycházka	outing
výtěžek	yield
zalévat	Water
apoštol	apostle
farmaceutický	pharmaceutical
pekelný	infernal
protestantský	Protestant
stojan	easel
úterní	Tuesday
vzácně	rarely
krmení	feeding
obvodový	peripheral
rozmach	boom
sedmnáctý	seventeenth
steh	stitch
symbolizovat	symbolize
uchránit	protect
vřelý	warm
vyjádřený	expressed
zahřát	warm
bádání	research
jásat	shout
patřičně	accordingly
překročení	crossing
radioaktivní	radioactive
sezení	seating
dožadovat	crave
MW	MW
náhrobek	tombstone
proslout	proslout
přeběhnout	defect
svlékat	undressing
útroby	bowels
vjezd	entrance
Bruntál	Bruntál
bubeník	drummer
homosexualita	homosexuality
panský	lordly
pohybující	Moving
popřát	wish
průtok	flow
spojující	linking
sporák	cooker
stabilizace	stabilization
toulat	Roam
tvrdost	hardness
civilizovaný	civilized
křížek	cross
nepřátelství	hostility
parník	steamship
plodina	crop
pojatý	conceived
prodírat	wade through
přestoupit	change
ÚV	CC
Benešov	Benesov
božstvo	deity
naštvat	upset
nepříjemnost	unpleasantness
vinit	blame
vyjasnit	clear
zamezit	avoid
nejednou	many a time
odvod	conscription
ohniště	fireplace
prohloubit	deepen
prosazování	promotion
semínko	seed
Šárka	Sarka
tabákový	Tobacco
herectví	acting
padák	parachute
ponurý	grim
rozmlouvat	converse
řetízek	chain
severně	north
vyznačit	mark
znázornit	typify
chemik	chemist
kapitalistický	capitalist
kočí	coachman
meditace	Meditation
rodičovský	parental
trio	trio
zabručet	grunt
kontinuita	continuity
listopadový	November
ME	ME
pohovor	interview
rozcházet	diverge
spiknutí	conspiracy
US-DEU	US-DEU
zářijový	September
guma	gum
příď	nose
stařenka	grandmother
Sýkora	Sykora
těstovina	pasta
analogie	analogy
homosexuál	gay
muka	anguish
projektant	planner
příplatek	surcharge
shořet	burn
val	wall
vanilkový	vanilla
zatoužit	yearn
zbavený	bereft
dutý	hollow
kráter	crater
sexy	sexy
Zdeňa	Zdeno
zdravotník	medic
exportní	Export
chudinka	poor soul
kožešina	fur
latina	Latin
předposlední	penultimate
Zbyněk	Zbynek
ztroskotat	shipwreck
čepel	blade
doléhat	weigh
družstevní	cooperative
hrávat	have played
létající	flying
plát	slab
povrchní	shallow
překonání	overcome
step	steppe
demo	demo
nasekat	baste
odborně	professionally
čerpací	pumping
chatrč	shack
koloniální	colonial
kousat	bite
naklánět	tilt
nosnost	capacity
petržel	parsley
salto	somersault
cíp	tip
emigrovat	emigrate
kasino	casino
komodita	commodity
navléknout	thread
protein	protein
věru	Indeed
zahnout	turn
fabrika	factory
hadice	hose
severský	northern
střelný	gun
torpédo	torpedo
bankrot	bankruptcy
CIA	CIA
čtveřice	quaternion
kvetoucí	blooming
polekat	scare
průsmyk	pass
tematický	thematic
vyčkávat	bide
vytočit	dial
vzlétnout	lift off
čekající	waiting
delta	delta
eurozóna	Eurozone
koktejl	cocktail
nať	tops
pronásledování	persecution
propouštět	leak
protahovat	protract
přístupový	Access
směsice	mix
všudypřítomný	omnipresent
výtečný	exquisite
zařízený	furnished
potlačovat	to suppress
prso	breast
slibný	promising
unášet	abduct
výměra	acreage
závodit	race
finální	final
koláž	collage
kvantový	Quantum
namluvit	tell
sazka	sazka
stokrát	hundreds of times
barel	drum
buddhismus	buddhism
civil	civvies
cvik	exercise
dilema	dilemma
progresivní	progressive
rotace	rotation
stanovy	statutes
synagoga	Synagogue
vypracování	drawing
autonomie	autonomy
energický	energetic
houf	herd
modř	blue
pokrájet	pokrájet
vystrčit	push out
zaprášený	dusty
beztak	anyhow
Ján	Ján
návštěvnost	attendance
odemknout	unlock
pakt	pact
přívod	intake
skladový	stock
zjišťování	discovery
country	Country
čilý	alert
fara	rectory
iniciovat	initiate
oplátka	cachet
podnos	tray
poskytnutý	provided
šept	Sept
vložka	insert
vousy	beard
automatizace	automation
domeček	house
odliv	outflow
protagonista	protagonist
sebevědomý	self-confident
služebná	maidservant
uživatelský	user
vlídně	graciously
vložený	embedded
výbušnina	explosive
výškový	high-rise
zveřejňovat	published
živnost	trade
gauč	couch
nezvyklý	unaccustomed
plac	plac
přejíždět	pass over
Stalinův	Stalin
vyčerpávající	exhaustive
zabití	manslaughter
zanechávat	leave
závěť	testament
běžec	runner
čekárna	waiting room
fiktivní	fictive
hnojivo	manure
kooperace	cooperation
motto	motto
pomluva	slander
synovec	nephew
Táňa	Tana
zástavba	development
etiketa	etiquette
jednoduchost	simplicity
krytí	cover
mučení	torture
regenerace	regeneration
sestřenice	cousin
totálně	completely
Bachův	Bach
ex	ex
panák	stooge
pojednou	Suddenly
smysluplný	meaningful
tmavě	Dark
závora	barrier
zdvojnásobit	double
žaludeční	gastric
metro	Metro
sociologický	sociological
Tvrdík	Tvrdík
úmrtnost	death rate
vichřice	gale
zvířátko	little animal
Krkonoše	Mountains
lepit	glue
taktický	tactical
zdůvodnění	justification
atlas	atlas
dekagram	decagram
vnucovat	obtrude
vymyslit	contrive
zavládnout	reign
blokovat	block
jídelníček	diet
klasik	classic
liberál	Liberal
kalendářní	calendar
odolávat	resist
